id,nome_comune,nome_scientifico,categoria,luce,annaffiatura,umidita,temp_min,temp_max,tossicita,note_cura,soglia_umidita,fonte,stato,external_id,immagine_principale_url
af14c253-726d-4a55-b7f3-f1b54fbd029c,Pothos,Epipremnum aureum,interno,media,media,media,15,30,true,Tollera la mezz'ombra ma variega meglio con luce indiretta intensa. Lasciare asciugare i primi centimetri di substrato tra un'annaffiatura e l'altra.,40,curato,attivo,,
b63eafed-de8b-40cb-89de-3a89b9b8db69,Sansevieria,Dracaena trifasciata,interno,media,poca,bassa,13,30,true,Estremamente tollerante alla siccità: il ristagno idrico è la principale causa di marciume del rizoma. Ridurre drasticamente le annaffiature in inverno.,20,curato,attivo,,
ed129147-1d52-4764-8ad2-8974ad397166,Monstera,Monstera deliciosa,interno,media,media,media,15,30,true,"Luce indiretta luminosa e un tutore di muschio favoriscono lo sviluppo delle fenestrature. Contiene ossalato di calcio, irritante se ingerita.",40,curato,attivo,,
b07c56be-6687-4398-abe0-b74a370297da,Ficus elastica,Ficus elastica,interno,alta,media,media,15,30,true,Preferisce luce indiretta intensa e non ama gli spostamenti frequenti. Il lattice bianco che fuoriesce dai tagli è irritante per pelle e mucose.,40,curato,attivo,,
f22fae26-4f00-4f1f-8ee7-ca74eef56b53,Ficus lyrata,Ficus lyrata,interno,alta,media,media,15,30,true,"Molto sensibile a correnti d'aria e sbalzi termici, che causano caduta delle foglie. Pulire periodicamente le grandi foglie dalla polvere.",40,curato,attivo,,
d85c42d6-aeb0-4eb5-a26c-63028758d488,Filodendro,Philodendron hederaceum,interno,media,media,media,15,28,true,"Pianta rampicante di facile coltivazione, tollera la luce scarsa ma cresce più compatta con luce indiretta. Tutte le parti contengono ossalato di calcio.",40,curato,attivo,,
9bf9c8d3-a097-48b0-a9f7-4185e2245603,Dracena,Dracaena marginata,interno,media,poca,media,15,28,true,"Sopporta bene la siccità e teme il ristagno. Sensibile al fluoro e ai sali presenti nell'acqua del rubinetto, che causano necrosi degli apici fogliari.",30,curato,attivo,,
c379ff9a-c49f-4bc3-b6a3-ab9e95375c1d,Zamioculcas,Zamioculcas zamiifolia,interno,bassa,poca,bassa,15,30,true,I rizomi immagazzinano acqua: sopporta lunghi periodi di siccità e teme molto l'eccesso di annaffiature. Adatta ad ambienti poco luminosi.,20,curato,attivo,,
ef34a979-4256-4655-9ff1-b11c55f842f5,Spatifillo,Spathiphyllum wallisii,interno,bassa,frequente,alta,15,27,true,Segnala la sete afflosciando vistosamente le foglie e si riprende rapidamente dopo l'annaffiatura. Gradisce nebulizzazioni e luce filtrata.,50,curato,attivo,,
f1cffc51-9733-4684-a903-840e7bd83964,Edera,Hedera helix,interno,media,media,media,5,25,true,"Molto rustica, tollera il freddo e la mezz'ombra. In ambienti caldi e secchi è soggetta ad attacchi di ragnetto rosso.",40,curato,attivo,,
